sms_text,account_no,reference_id,amount,txn_type,date,merchant,category,bank
Payment of Rs.31252.00 successful to LAKME SALON via UPI Ref 773993529118,NaN,773993529118,31252.00,Debit,NaN,LAKME SALON VIA UPI,Recharge,NaN
"Dear ICICI User, your A/c X9502-credited by Rs.21678.86 on 21Feb26 transfer from BYJUS LEARNING Ref No 329220233184 -AXIS",X9502,329220233184,21678.86,Credit,21Feb26,NaN,Miscellaneous,ICICI
"Dear KOTAK User, your A/c X2837-credited by Rs.32735.12 on 11May26 transfer from ZOMATO LIMITED Ref No 469487504387 -KOTAK",X2837,469487504387,32735.12,Credit,11May26,LIMITED,Miscellaneous,KOTAK
"Dear KOTAK User, your A/c X6604-credited by Rs.18243.31 on 15Feb26 transfer from GOOGLE INDIA DIGITAL SERVICES PVT LTD Ref No 993207964963 -ICICI",X6604,993207964963,18243.31,Credit,15Feb26,NaN,Miscellaneous,ICICI
A/c XX6525 debited by Rs.7690.00 for LAKME SALON on 27Jun26 UTR 772305787498,XX6525,772305787498,7690.00,Debit,27Jun26,LAKME SALON,Beauty,NaN
Payment of Rs.30870.00 successful to FLIPKART INTERNET via UPI Ref 695358627403,NaN,695358627403,30870.00,Debit,NaN,FLIPKART INTERNET VIA UPI,Shopping,NaN
"Dear PNB User, your A/c X2469-credited by Rs.34988.88 on 17Jul26 transfer from NETFLIX INDIA Ref No 867241687021 -SBI",X2469,867241687021,34988.88,Credit,17Jul26,NaN,Miscellaneous,SBI
Transaction successful. Rs.1604.00 transferred to GROWW ACCOUNT Ref No 330861411555,NaN,330861411555,1604.00,Debit,NaN,GROWW ACCOUNT,Finance,NaN
INR 9360.00 spent using UPI at CULT FIT Ref No 312331992561 on 13Apr26. Avl Bal XXXX,NaN,312331992561,9360.00,Debit,13Apr26,CULT FIT,Fitness,NaN
"Dear SBI User, your A/c X9576-credited by Rs.43588.02 on 14Jan26 transfer from SWIGGY LIMITED Ref No 284427073443 -KOTAK",X9576,284427073443,43588.02,Credit,14Jan26,NaN,Miscellaneous,SBI
Transaction successful. Rs.38611.00 transferred to CULT FIT Ref No 973714607806,NaN,973714607806,38611.00,Debit,NaN,CULT FIT,Fitness,NaN
Your A/c XX8717 is debited by Rs.41354.00 on 26Jun26 towards SPOTIFY INDIA - ICICI Bank,XX8717,NaN,41354.00,Debit,26Jun26,NaN,Miscellaneous,ICICI
Dear UPI user A/C X3861 debited by 28879.00 on date 22Jan26 trf to INDIAN OIL Refno 945254532021 If not u? call-1800111109 - SBI,X3861,945254532021,28879.00,Debit,22Jan26,INDIAN OIL,Fuel,SBI
UPI Txn Successful. Rs.45520.00 debited from A/c XX4928 towards BIGBASKET Ref 754691454496,XX4928,754691454496,45520.00,Debit,NaN,NaN,Miscellaneous,NaN
"Dear SBI User, your A/c X7938-credited by Rs.15259.08 on 09May26 transfer from ZOMATO LIMITED Ref No 375949312956 -SBI",X7938,375949312956,15259.08,Credit,09May26,LIMITED,Miscellaneous,SBI
"Dear SBI User, your A/c X1589-credited by Rs.15897.91 on 24Mar26 transfer from FLIPKART INTERNET PVT LTD Ref No 644131796719 -HDFC",X1589,644131796719,15897.91,Credit,24Mar26,NaN,Miscellaneous,SBI
A/c XX2936 debited by Rs.47158.00 for SWIGGY LIMITED on 13Apr26 UTR 529823822615,XX2936,529823822615,47158.00,Debit,13Apr26,SWIGGY LIMITED,Food,NaN
"Dear HDFC User, your A/c X8524-credited by Rs.34082.12 on 07Feb26 transfer from ZERODHA BROKING LTD Ref No 495414094143 -KOTAK",X8524,495414094143,34082.12,Credit,07Feb26,NaN,Miscellaneous,HDFC
A/c XX9263 debited by Rs.9976.00 for AMAZON PAY on 06Jan26 UTR 360000727489,XX9263,360000727489,9976.00,Debit,06Jan26,AMAZON PAY,Shopping,NaN
Your A/c XX1604 is debited by Rs.33989.00 on 01Jan26 towards RELIANCE JIO INFOCOMM - ICICI Bank,XX1604,NaN,33989.00,Debit,01Jan26,NaN,Miscellaneous,ICICI
"Dear SBI User, your A/c X2454-credited by Rs.43577.36 on 08May26 transfer from PHONEPE PRIVATE LIMITED Ref No 286448088935 -KOTAK",X2454,286448088935,43577.36,Credit,08May26,NaN,Miscellaneous,SBI
"Dear PNB User, your A/c X3251-credited by Rs.26576.46 on 13Feb26 transfer from AMAZON PAY INDIA Ref No 862951102428 -HDFC",X3251,862951102428,26576.46,Credit,13Feb26,NaN,Miscellaneous,HDFC
"Dear SBI User, your A/c X2838-credited by Rs.16239.59 on 12Sep26 transfer from GROWW INVESTMENTS Ref No 331359141818 -PNB",X2838,331359141818,16239.59,Credit,12Sep26,NaN,Miscellaneous,SBI
"Dear HDFC User, your A/c X9041-credited by Rs.32396.03 on 25Mar26 transfer from UNACADEMY Ref No 298280435509 -HDFC",X9041,298280435509,32396.03,Credit,25Mar26,NaN,Miscellaneous,HDFC
Transaction successful. Rs.6287.00 transferred to PHYSICS WALLAH Ref No 807546992665,NaN,807546992665,6287.00,Debit,NaN,PHYSICS WALLAH,Education,NaN
"Dear KOTAK User, your A/c X6384-credited by Rs.29083.91 on 04Aug26 transfer from SPOTIFY INDIA Ref No 324960114646 -SBI",X6384,324960114646,29083.91,Credit,04Aug26,NaN,Miscellaneous,SBI
Transaction successful. Rs.12468.00 transferred to MYNTRA DESIGNS Ref No 900170106268,NaN,900170106268,12468.00,Debit,NaN,MYNTRA DESIGNS,Shopping,NaN
"Dear PNB User, your A/c X3203-credited by Rs.26574.3 on 17Jun26 transfer from PHYSICS WALLAH Ref No 864106860096 -AXIS",X3203,864106860096,26574.3,Credit,17Jun26,NaN,Miscellaneous,AXIS
"Dear KOTAK User, your A/c X6523-credited by Rs.45711.48 on 12Sep26 transfer from GOOGLE INDIA DIGITAL SERVICES PVT LTD Ref No 739883329575 -PNB",X6523,739883329575,45711.48,Credit,12Sep26,NaN,Miscellaneous,PNB
"Dear KOTAK User, your A/c X8919-credited by Rs.43050.86 on 27Aug26 transfer from SWIGGY LIMITED Ref No 888244322635 -PNB",X8919,888244322635,43050.86,Credit,27Aug26,NaN,Miscellaneous,PNB
"Dear AXIS User, your A/c X5733-credited by Rs.9223.66 on 28Feb26 transfer from RAZORPAY SOFTWARE PVT LTD Ref No 330817565101 -HDFC",X5733,330817565101,9223.66,Credit,28Feb26,NaN,Miscellaneous,HDFC
Dear UPI user A/C X4685 debited by 42780.00 on date 14Jan26 trf to COURSERA LEARNING Refno 351440031861 If not u? call-1800111109 - SBI,X4685,351440031861,42780.00,Debit,14Jan26,COURSERA LEARNING,Education,SBI
"Dear SBI User, your A/c X7294-credited by Rs.15870.81 on 03Nov26 transfer from RAZORPAY SOFTWARE PVT LTD Ref No 322331960221 -AXIS",X7294,322331960221,15870.81,Credit,03Nov26,NaN,Miscellaneous,SBI
Rs.10924.00 debited from A/c XX2973 on 04May26 towards PM CARES FUND UPI Ref 261067178582. HDFC Bank,XX2973,261067178582,10924.00,Debit,04May26,PM CARES FUND,Donation,HDFC
"Dear PNB User, your A/c X6362-credited by Rs.48673.18 on 25May26 transfer from BIGBASKET ONLINE Ref No 416358312564 -HDFC",X6362,416358312564,48673.18,Credit,25May26,NaN,Miscellaneous,HDFC
"Dear AXIS User, your A/c X3653-credited by Rs.13515.1 on 15Sep26 transfer from UNACADEMY Ref No 178045673510 -AXIS",X3653,178045673510,13515.1,Credit,15Sep26,NaN,Miscellaneous,AXIS
UPI Txn Successful. Rs.33368.00 debited from A/c XX8615 towards HP PETROL PUMP Ref 515412349066,XX8615,515412349066,33368.00,Debit,NaN,NaN,Miscellaneous,NaN
"Dear AXIS User, your A/c X7931-credited by Rs.35544.78 on 23Feb26 transfer from ZERODHA BROKING LTD Ref No 989363323913 -SBI",X7931,989363323913,35544.78,Credit,23Feb26,NaN,Miscellaneous,SBI
"Dear HDFC User, your A/c X3273-credited by Rs.1067.67 on 03Mar26 transfer from NETFLIX INDIA Ref No 583145038488 -ICICI",X3273,583145038488,1067.67,Credit,03Mar26,NaN,Miscellaneous,HDFC
Payment of Rs.41838.00 successful to CULT FIT via UPI Ref 898036427707,NaN,898036427707,41838.00,Debit,NaN,CULT FIT VIA UPI,Recharge,NaN
Transaction successful. Rs.45490.00 transferred to LAKME SALON Ref No 171396675418,NaN,171396675418,45490.00,Debit,NaN,LAKME SALON,Beauty,NaN
"Dear AXIS User, your A/c X4991-credited by Rs.8217.35 on 22Jan26 transfer from GOOGLE INDIA DIGITAL SERVICES PVT LTD Ref No 521666828689 -AXIS",X4991,521666828689,8217.35,Credit,22Jan26,NaN,Miscellaneous,AXIS
INR 23365.00 spent using UPI at MAMAEARTH INDIA Ref No 846197829426 on 22Mar26. Avl Bal XXXX,NaN,846197829426,23365.00,Debit,22Mar26,MAMAEARTH INDIA,Beauty,NaN
Dear UPI user A/C X8583 debited by 32053.00 on date 20Mar26 trf to MAMAEARTH INDIA Refno 684574847191 If not u? call-1800111109 - SBI,X8583,684574847191,32053.00,Debit,20Mar26,MAMAEARTH INDIA,Beauty,SBI
"Dear HDFC User, your A/c X4197-credited by Rs.38051.15 on 24Jul26 transfer from ANGEL ONE LIMITED Ref No 898581760982 -PNB",X4197,898581760982,38051.15,Credit,24Jul26,NaN,Miscellaneous,HDFC
INR 10038.00 spent using UPI at MYNTRA DESIGNS Ref No 403965646627 on 08Jan26. Avl Bal XXXX,NaN,403965646627,10038.00,Debit,08Jan26,MYNTRA DESIGNS,Shopping,NaN
Dear UPI user A/C X4196 debited by 7803.00 on date 06Mar26 trf to UPSTOX Refno 172301615087 If not u? call-1800111109 - SBI,X4196,172301615087,7803.00,Debit,06Mar26,UPSTOX,Finance,SBI
"Dear HDFC User, your A/c X4398-credited by Rs.36745.44 on 27Feb26 transfer from UPSTOX SECURITIES Ref No 977787036060 -PNB",X4398,977787036060,36745.44,Credit,27Feb26,NaN,Miscellaneous,HDFC
"Dear HDFC User, your A/c X6231-credited by Rs.22547.16 on 18Mar26 transfer from UPSTOX SECURITIES Ref No 660082454745 -AXIS",X6231,660082454745,22547.16,Credit,18Mar26,NaN,Miscellaneous,HDFC
"Dear KOTAK User, your A/c X7212-credited by Rs.44385.59 on 23Jan26 transfer from GROWW INVESTMENTS Ref No 570436969972 -ICICI",X7212,570436969972,44385.59,Credit,23Jan26,NaN,Miscellaneous,ICICI
"Dear KOTAK User, your A/c X9245-credited by Rs.5183.45 on 22Aug26 transfer from UNACADEMY Ref No 661807094239 -KOTAK",X9245,661807094239,5183.45,Credit,22Aug26,NaN,Miscellaneous,KOTAK
"Dear SBI User, your A/c X8034-credited by Rs.23139.98 on 05Apr26 transfer from SPOTIFY INDIA Ref No 829814834236 -SBI",X8034,829814834236,23139.98,Credit,05Apr26,NaN,Miscellaneous,SBI
INR 31400.00 spent using UPI at SHELL INDIA Ref No 940723610233 on 06Feb26. Avl Bal XXXX,NaN,940723610233,31400.00,Debit,06Feb26,SHELL INDIA,Fuel,NaN
Payment of Rs.26920.00 successful to LAKME SALON via UPI Ref 364269372462,NaN,364269372462,26920.00,Debit,NaN,LAKME SALON VIA UPI,Recharge,NaN
"Dear ICICI User, your A/c X1677-credited by Rs.48225.32 on 01Aug26 transfer from AMAZON PAY INDIA Ref No 383146456390 -PNB",X1677,383146456390,48225.32,Credit,01Aug26,NaN,Miscellaneous,ICICI
"Dear SBI User, your A/c X6405-credited by Rs.2321.26 on 28Apr26 transfer from ZOMATO LIMITED Ref No 426438176535 -AXIS",X6405,426438176535,2321.26,Credit,28Apr26,LIMITED,Miscellaneous,SBI
"Dear KOTAK User, your A/c X4593-credited by Rs.42882.12 on 26Dec26 transfer from ANGEL ONE LIMITED Ref No 715171541303 -KOTAK",X4593,715171541303,42882.12,Credit,26Dec26,NaN,Miscellaneous,KOTAK
UPI Txn Successful. Rs.31665.00 debited from A/c XX6627 towards AKSHAYA PATRA Ref 887069641212,XX6627,887069641212,31665.00,Debit,NaN,NaN,Miscellaneous,NaN
Your A/c XX8763 is debited by Rs.43441.00 on 01Mar26 towards PM CARES FUND - ICICI Bank,XX8763,NaN,43441.00,Debit,01Mar26,NaN,Miscellaneous,ICICI
"Dear AXIS User, your A/c X3853-credited by Rs.34537.43 on 01Dec26 transfer from SPOTIFY INDIA Ref No 754458112387 -SBI",X3853,754458112387,34537.43,Credit,01Dec26,NaN,Miscellaneous,SBI
"Dear HDFC User, your A/c X1730-credited by Rs.7032.38 on 10Dec26 transfer from UNACADEMY Ref No 412365827618 -AXIS",X1730,412365827618,7032.38,Credit,10Dec26,NaN,Miscellaneous,HDFC
Dear UPI user A/C X7366 debited by 42316.00 on date 02Jun26 trf to ZERODHA FUNDING Refno 891057410634 If not u? call-1800111109 - SBI,X7366,891057410634,42316.00,Debit,02Jun26,ZERODHA FUNDING,Finance,SBI
"Dear SBI User, your A/c X2632-credited by Rs.40983.97 on 06Nov26 transfer from GOOGLE INDIA DIGITAL SERVICES PVT LTD Ref No 627727782256 -KOTAK",X2632,627727782256,40983.97,Credit,06Nov26,NaN,Miscellaneous,SBI
"Dear PNB User, your A/c X6956-credited by Rs.31348.28 on 09Sep26 transfer from PAYTM PAYMENTS BANK Ref No 441161557504 -HDFC",X6956,441161557504,31348.28,Credit,09Sep26,NaN,Miscellaneous,HDFC
"Dear KOTAK User, your A/c X7379-credited by Rs.44155.1 on 24Dec26 transfer from PAYTM PAYMENTS BANK Ref No 509719152962 -ICICI",X7379,509719152962,44155.1,Credit,24Dec26,NaN,Miscellaneous,ICICI
Payment of Rs.18205.00 successful to BIGBASKET via UPI Ref 630697218603,NaN,630697218603,18205.00,Debit,NaN,BIGBASKET VIA UPI,Groceries,NaN
Your A/c XX7874 is debited by Rs.25433.00 on 25Jan26 towards DMART READY - ICICI Bank,XX7874,NaN,25433.00,Debit,25Jan26,NaN,Miscellaneous,ICICI
Rs.2524.00 debited from A/c XX7495 on 08Apr26 towards PURPLLE UPI Ref 541230993502. HDFC Bank,XX7495,541230993502,2524.00,Debit,08Apr26,PURPLLE,Beauty,HDFC
"Dear AXIS User, your A/c X7313-credited by Rs.5017.79 on 04Dec26 transfer from BIGBASKET ONLINE Ref No 728195249397 -ICICI",X7313,728195249397,5017.79,Credit,04Dec26,NaN,Miscellaneous,ICICI
Payment of Rs.22859.00 successful to GROWW ACCOUNT via UPI Ref 194543357665,NaN,194543357665,22859.00,Debit,NaN,GROWW ACCOUNT VIA UPI,Recharge,NaN
Rs.22682.00 debited from A/c XX3151 on 25Jun26 towards CROMA UPI Ref 953955871666. HDFC Bank,XX3151,953955871666,22682.00,Debit,25Jun26,CROMA,Electronics,HDFC
Transaction successful. Rs.20458.00 transferred to ZEPTO MARKETPLAC Ref No 730477501066,NaN,730477501066,20458.00,Debit,NaN,ZEPTO MARKETPLAC,Groceries,NaN
Your A/c XX4588 is debited by Rs.28666.00 on 17Mar26 towards GROWW ACCOUNT - ICICI Bank,XX4588,NaN,28666.00,Debit,17Mar26,NaN,Miscellaneous,ICICI
Dear UPI user A/C X3320 debited by 5326.00 on date 30May26 trf to DMART READY Refno 835066425774 If not u? call-1800111109 - SBI,X3320,835066425774,5326.00,Debit,30May26,DMART READY,Groceries,SBI
Your A/c XX1775 is debited by Rs.1323.00 on 23May26 towards UDEMY INDIA - ICICI Bank,XX1775,NaN,1323.00,Debit,23May26,NaN,Miscellaneous,ICICI
Payment of Rs.13902.00 successful to NETFLIX INDIA via UPI Ref 569058705165,NaN,569058705165,13902.00,Debit,NaN,NETFLIX INDIA VIA UPI,Recharge,NaN
"Dear KOTAK User, your A/c X6961-credited by Rs.10473.43 on 11Jan26 transfer from ZERODHA BROKING LTD Ref No 952350592299 -SBI",X6961,952350592299,10473.43,Credit,11Jan26,NaN,Miscellaneous,SBI
"Dear KOTAK User, your A/c X9474-credited by Rs.29686.56 on 12Apr26 transfer from PAYTM PAYMENTS BANK Ref No 964802083239 -SBI",X9474,964802083239,29686.56,Credit,12Apr26,NaN,Miscellaneous,SBI
"Dear HDFC User, your A/c X7910-credited by Rs.48570.38 on 07Jan26 transfer from SPOTIFY INDIA Ref No 307240747203 -PNB",X7910,307240747203,48570.38,Credit,07Jan26,NaN,Miscellaneous,HDFC
Dear UPI user A/C X5837 debited by 5478.00 on date 30Apr26 trf to RELIANCE DIGITAL Refno 606904052772 If not u? call-1800111109 - SBI,X5837,606904052772,5478.00,Debit,30Apr26,RELIANCE DIGITAL,Electronics,SBI
INR 49616.00 spent using UPI at VIJAY SALES Ref No 354010066722 on 23Jun26. Avl Bal XXXX,NaN,354010066722,49616.00,Debit,23Jun26,VIJAY SALES,Recharge,NaN
"Dear AXIS User, your A/c X5778-credited by Rs.44995.42 on 15Nov26 transfer from SPOTIFY INDIA Ref No 613005336919 -PNB",X5778,613005336919,44995.42,Credit,15Nov26,NaN,Miscellaneous,AXIS
A/c XX4803 debited by Rs.238.00 for AKSHAYA PATRA on 14Apr26 UTR 506565499109,XX4803,506565499109,238.00,Debit,14Apr26,AKSHAYA PATRA,Donation,NaN
Transaction successful. Rs.24766.00 transferred to COURSERA LEARNING Ref No 357126936471,NaN,357126936471,24766.00,Debit,NaN,COURSERA LEARNING,Education,NaN
"Dear ICICI User, your A/c X3280-credited by Rs.33218.28 on 20Feb26 transfer from PHYSICS WALLAH Ref No 146766313910 -SBI",X3280,146766313910,33218.28,Credit,20Feb26,NaN,Miscellaneous,SBI
"Dear HDFC User, your A/c X1877-credited by Rs.23423.73 on 04Aug26 transfer from SPOTIFY INDIA Ref No 813829752376 -HDFC",X1877,813829752376,23423.73,Credit,04Aug26,NaN,Miscellaneous,HDFC
"Dear HDFC User, your A/c X2068-credited by Rs.46523.62 on 11Apr26 transfer from SPOTIFY INDIA Ref No 736665319079 -KOTAK",X2068,736665319079,46523.62,Credit,11Apr26,NaN,Miscellaneous,HDFC
"Dear HDFC User, your A/c X6274-credited by Rs.15776.07 on 10Jun26 transfer from PHYSICS WALLAH Ref No 220726795393 -ICICI",X6274,220726795393,15776.07,Credit,10Jun26,NaN,Miscellaneous,HDFC
INR 31306.00 spent using UPI at LIC PREMIUM Ref No 691609044700 on 07Jan26. Avl Bal XXXX,NaN,691609044700,31306.00,Debit,07Jan26,LIC PREMIUM,Insurance,NaN
INR 18629.00 spent using UPI at MAMAEARTH INDIA Ref No 684614870498 on 28Jan26. Avl Bal XXXX,NaN,684614870498,18629.00,Debit,28Jan26,MAMAEARTH INDIA,Beauty,NaN
"Dear HDFC User, your A/c X7280-credited by Rs.8981.82 on 01Jun26 transfer from BYJUS LEARNING Ref No 683871263781 -HDFC",X7280,683871263781,8981.82,Credit,01Jun26,NaN,Miscellaneous,HDFC
Your A/c XX8266 is debited by Rs.17225.00 on 08Apr26 towards CROMA - ICICI Bank,XX8266,NaN,17225.00,Debit,08Apr26,NaN,Miscellaneous,ICICI
Transaction successful. Rs.11781.00 transferred to ZEPTO MARKETPLAC Ref No 102288368895,NaN,102288368895,11781.00,Debit,NaN,ZEPTO MARKETPLAC,Groceries,NaN
"Dear ICICI User, your A/c X3364-credited by Rs.41550.02 on 24Feb26 transfer from FLIPKART INTERNET PVT LTD Ref No 526131719175 -KOTAK",X3364,526131719175,41550.02,Credit,24Feb26,NaN,Miscellaneous,ICICI
Dear UPI user A/C X9331 debited by 31181.00 on date 28Jan26 trf to LAKME SALON Refno 736488750379 If not u? call-1800111109 - SBI,X9331,736488750379,31181.00,Debit,28Jan26,LAKME SALON,Beauty,SBI
"Dear PNB User, your A/c X2101-credited by Rs.6442.6 on 13Feb26 transfer from BYJUS LEARNING Ref No 131867801667 -PNB",X2101,131867801667,6442.6,Credit,13Feb26,NaN,Miscellaneous,PNB
"Dear AXIS User, your A/c X5064-credited by Rs.9685.15 on 22Jul26 transfer from BIGBASKET ONLINE Ref No 402015389249 -KOTAK",X5064,402015389249,9685.15,Credit,22Jul26,NaN,Miscellaneous,AXIS
Your A/c XX9599 is debited by Rs.33171.00 on 23Jan26 towards PHYSICS WALLAH - ICICI Bank,XX9599,NaN,33171.00,Debit,23Jan26,NaN,Miscellaneous,ICICI
INR 10685.00 spent using UPI at UPSTOX Ref No 239729634744 on 03May26. Avl Bal XXXX,NaN,239729634744,10685.00,Debit,03May26,UPSTOX,Finance,NaN
UPI Txn Successful. Rs.38383.00 debited from A/c XX9677 towards CROMA Ref 904257216744,XX9677,904257216744,38383.00,Debit,NaN,NaN,Miscellaneous,NaN
"Dear PNB User, your A/c X9579-credited by Rs.37072.51 on 04Aug26 transfer from SWIGGY LIMITED Ref No 684232459091 -ICICI",X9579,684232459091,37072.51,Credit,04Aug26,NaN,Miscellaneous,ICICI
"Dear KOTAK User, your A/c X6311-credited by Rs.11239.2 on 14May26 transfer from GROWW INVESTMENTS Ref No 403803450503 -PNB",X6311,403803450503,11239.2,Credit,14May26,NaN,Miscellaneous,PNB
